color,order
"[249, 255, 254]","[(249, 255, 254), (249, 255, 254), (249, 255, 254)]"
"[203, 206, 202]","[(249, 255, 254), (249, 255, 254), (157, 157, 151)]"
"[160, 167, 168]","[(249, 255, 254), (249, 255, 254), (71, 79, 82)]"
"[139, 142, 144]","[(249, 255, 254), (249, 255, 254), (29, 29, 33)]"
"[190, 170, 152]","[(249, 255, 254), (249, 255, 254), (131, 84, 50)]"
"[212, 150, 146]","[(249, 255, 254), (249, 255, 254), (176, 46, 38)]"
"[249, 192, 142]","[(249, 255, 254), (249, 255, 254), (249, 128, 29)]"
"[252, 236, 158]","[(249, 255, 254), (249, 255, 254), (254, 216, 61)]"
"[188, 227, 142]","[(249, 255, 254), (249, 255, 254), (128, 199, 31)]"
"[172, 190, 138]","[(249, 255, 254), (249, 255, 254), (94, 124, 22)]"
"[136, 206, 205]","[(249, 255, 254), (249, 255, 254), (22, 156, 156)]"
"[154, 217, 236]","[(249, 255, 254), (249, 255, 254), (58, 179, 218)]"
"[154, 162, 212]","[(249, 255, 254), (249, 255, 254), (60, 68, 170)]"
"[193, 152, 219]","[(249, 255, 254), (249, 255, 254), (137, 50, 184)]"
"[224, 166, 222]","[(249, 255, 254), (249, 255, 254), (199, 78, 189)]"
"[246, 197, 212]","[(249, 255, 254), (249, 255, 254), (243, 139, 170)]"
"[226, 230, 228]","[(249, 255, 254), (157, 157, 151), (249, 255, 254)]"
"[180, 182, 177]","[(249, 255, 254), (157, 157, 151), (157, 157, 151)]"
"[137, 142, 142]","[(249, 255, 254), (157, 157, 151), (71, 79, 82)]"
"[116, 118, 118]","[(249, 255, 254), (157, 157, 151), (29, 29, 33)]"
"[167, 145, 126]","[(249, 255, 254), (157, 157, 151), (131, 84, 50)]"
"[190, 126, 120]","[(249, 255, 254), (157, 157, 151), (176, 46, 38)]"
"[226, 167, 116]","[(249, 255, 254), (157, 157, 151), (249, 128, 29)]"
"[228, 211, 132]","[(249, 255, 254), (157, 157, 151), (254, 216, 61)]"
"[166, 202, 117]","[(249, 255, 254), (157, 157, 151), (128, 199, 31)]"
"[148, 165, 112]","[(249, 255, 254), (157, 157, 151), (94, 124, 22)]"
"[112, 181, 179]","[(249, 255, 254), (157, 157, 151), (22, 156, 156)]"
"[130, 192, 210]","[(249, 255, 254), (157, 157, 151), (58, 179, 218)]"
"[132, 137, 186]","[(249, 255, 254), (157, 157, 151), (60, 68, 170)]"
"[170, 128, 193]","[(249, 255, 254), (157, 157, 151), (137, 50, 184)]"
"[201, 142, 196]","[(249, 255, 254), (157, 157, 151), (199, 78, 189)]"
"[223, 172, 186]","[(249, 255, 254), (157, 157, 151), (243, 139, 170)]"
"[204, 211, 211]","[(249, 255, 254), (71, 79, 82), (249, 255, 254)]"
"[158, 162, 160]","[(249, 255, 254), (71, 79, 82), (157, 157, 151)]"
"[116, 123, 125]","[(249, 255, 254), (71, 79, 82), (71, 79, 82)]"
"[94, 98, 100]","[(249, 255, 254), (71, 79, 82), (29, 29, 33)]"
"[146, 126, 109]","[(249, 255, 254), (71, 79, 82), (131, 84, 50)]"
"[168, 106, 103]","[(249, 255, 254), (71, 79, 82), (176, 46, 38)]"
"[204, 148, 98]","[(249, 255, 254), (71, 79, 82), (249, 128, 29)]"
"[207, 192, 114]","[(249, 255, 254), (71, 79, 82), (254, 216, 61)]"
"[144, 183, 100]","[(249, 255, 254), (71, 79, 82), (128, 199, 31)]"
"[127, 146, 95]","[(249, 255, 254), (71, 79, 82), (94, 124, 22)]"
"[91, 162, 162]","[(249, 255, 254), (71, 79, 82), (22, 156, 156)]"
"[109, 173, 193]","[(249, 255, 254), (71, 79, 82), (58, 179, 218)]"
"[110, 118, 169]","[(249, 255, 254), (71, 79, 82), (60, 68, 170)]"
"[148, 108, 176]","[(249, 255, 254), (71, 79, 82), (137, 50, 184)]"
"[180, 122, 178]","[(249, 255, 254), (71, 79, 82), (199, 78, 189)]"
"[202, 153, 169]","[(249, 255, 254), (71, 79, 82), (243, 139, 170)]"
"[194, 198, 199]","[(249, 255, 254), (29, 29, 33), (249, 255, 254)]"
"[148, 150, 147]","[(249, 255, 254), (29, 29, 33), (157, 157, 151)]"
"[105, 110, 113]","[(249, 255, 254), (29, 29, 33), (71, 79, 82)]"
"[84, 86, 88]","[(249, 255, 254), (29, 29, 33), (29, 29, 33)]"
"[135, 113, 97]","[(249, 255, 254), (29, 29, 33), (131, 84, 50)]"
"[158, 94, 91]","[(249, 255, 254), (29, 29, 33), (176, 46, 38)]"
"[194, 135, 86]","[(249, 255, 254), (29, 29, 33), (249, 128, 29)]"
"[196, 179, 102]","[(249, 255, 254), (29, 29, 33), (254, 216, 61)]"
"[134, 170, 87]","[(249, 255, 254), (29, 29, 33), (128, 199, 31)]"
"[116, 133, 83]","[(249, 255, 254), (29, 29, 33), (94, 124, 22)]"
"[80, 149, 150]","[(249, 255, 254), (29, 29, 33), (22, 156, 156)]"
"[98, 160, 181]","[(249, 255, 254), (29, 29, 33), (58, 179, 218)]"
"[100, 105, 157]","[(249, 255, 254), (29, 29, 33), (60, 68, 170)]"
"[138, 96, 164]","[(249, 255, 254), (29, 29, 33), (137, 50, 184)]"
"[169, 110, 166]","[(249, 255, 254), (29, 29, 33), (199, 78, 189)]"
